FINA at Wild Heaven,14.3,28.6,7.1,7.1,42.9
Fado Irish Pub Midtown Atlanta,2.5,1.5,10.3,26.1,59.6
Fanplex,0.0,0.0,0.0,20.0,80.0
Farm Burger Buckhead,3.0,2.7,7.3,23.3,63.7
Farm Burger Midtown Atlanta,2.6,3.0,9.5,15.6,69.3
Farm to Ladle,17.0,13.2,7.5,24.5,37.7
Fellini's Pizza,2.5,1.7,5.6,21.9,68.4
Ferst Place,0.0,0.0,0.0,25.0,75.0
Fia Restaurant,3.2,0.0,0.0,6.5,90.3
Field Day,1.6,0.0,1.6,9.5,87.3
Fin & Feathers,6.1,3.1,6.4,15.1,69.3
Fire Hen,0.0,2.8,0.0,2.8,94.4
Firewall Food Stop,3.9,0.0,0.0,5.3,90.8
First Choice Cafe,5.6,2.8,1.4,15.5,74.6
First Watch,5.4,4.5,8.6,22.7,58.8
Fish Bowl Poke,4.5,1.3,5.1,19.7,69.4
Five Guys,5.3,3.3,9.5,23.9,58.0
Flower Child,4.9,0.7,3.3,12.5,78.7
Flying Biscuit Cafe,3.9,2.5,7.5,20.8,65.3
Flying Biscuit Cafe - Brookhaven,5.3,3.8,10.3,23.9,56.7
Flying Biscuit Cafe - Howell Mill Village,4.7,2.7,6.3,23.9,62.4
Flying Biscuit Café - Candler Park,3.5,2.6,7.9,20.8,65.2
Flying Biscuit Café - Midtown,5.5,4.3,9.2,22.0,59.1
Folk Art Restaurant Decatur,3.8,1.0,6.9,18.4,69.8
Fontaine's Oyster House,3.3,2.9,6.5,21.0,66.3
Food Terminal,2.3,1.5,6.4,17.7,72.1
Fortune Cookie Restaurant,10.4,5.8,6.8,15.6,61.4
Fox Bros. Bar-B-Q,2.0,1.6,4.9,17.1,74.4
Fox Bros. Bar-B-Q Westside,12.5,0.0,0.0,12.5,75.0
Foxtrot Liquor Bar,4.9,3.7,7.4,25.2,58.7
Foxx Original Jamaican Restaurant,10.4,5.0,7.7,15.2,61.7
Fresh 4 U,3.5,1.8,1.8,15.8,77.2
Fresh To Order - CNN Center,21.9,6.2,10.9,17.2,43.8
Fresh To Order - Decatur,2.1,2.8,7.2,23.6,64.3
Fresh To Order - Midtown,3.6,1.5,8.6,25.5,60.8
Fried Corn Evrythang,0.0,0.0,0.0,25.0,75.0
Front Page News -Permanently Closed,5.1,4.4,11.2,26.8,52.5
Frost Bistro,22.0,9.5,9.5,13.7,45.3
G's Midtown,4.6,1.5,10.8,20.6,62.4
Garden Parc Brunch & Events,3.0,1.8,4.2,11.4,79.6
Gato,4.0,2.0,5.9,15.4,72.7
Georgia Beer Garden,2.3,1.0,5.6,19.8,71.4
Georgia Boy,3.8,2.5,0.0,5.1,88.6
Get Fruity Cafe,12.7,4.4,7.0,12.7,63.3
Gibney's Pub,5.1,3.1,10.6,31.8,49.4
Gino's NY Pizza Bar,8.5,4.0,9.8,21.7,56.0
Ginya Izakaya,3.0,2.2,5.0,20.6,69.2
Girgiro Restorant,0.0,0.0,2.6,10.5,86.8
Girl Diver Atlanta,6.0,3.6,9.5,11.9,69.0
Gladys Knight's Signature Chicken & Waffles,41.9,11.6,7.6,16.2,22.7
Glenn's Kitchen,2.2,2.2,9.5,24.6,61.5
Gocha's Breakfast Bar,8.6,4.5,5.7,14.1,67.2
Goldbergs Fine Foods - Roswell,7.0,3.8,5.4,19.0,64.9
Goldbergs Fine Foods - Toco Hills,6.6,4.9,9.1,22.5,56.9
Goldbergs Fine Foods - West Paces,4.6,3.4,8.2,25.5,58.4
Golden Eagle,4.2,3.0,4.4,19.3,69.0
Golden Vibes Café,0.0,0.0,0.0,0.0,100.0
Gotham City Eatery,5.6,22.2,33.3,5.6,33.3
Graffiti Atlanta,14.8,0.0,0.0,3.7,81.5
Grana,2.6,3.0,7.3,11.9,75.2
Grand Champion BBQ,11.1,6.7,2.2,2.2,77.8
Grand Champion BBQ (Smyrna),0.0,0.0,0.0,0.0,100.0
Grand Lux Cafe,8.8,4.2,9.3,21.6,56.2
Grecian Gyro,6.2,1.7,4.5,15.7,71.9
Green Soma Vegan Cafe,3.0,4.0,3.0,15.2,74.7
Greenbriar Discount Mall,4.6,4.8,19.6,22.5,48.6
Grindhouse Killer Burgers,1.9,1.9,5.6,22.8,67.9
Grips Good Eats & Sweets,10.6,5.6,5.1,12.6,66.2
Grub Burger Bar,3.4,3.2,7.7,26.5,59.1
Grub Fresh Bowls & Wraps,14.3,8.9,5.4,10.7,60.7
Grub Truck Stop,0.0,0.0,0.0,12.5,87.5
Gullwing Club at Mercedes-Benz Stadium,14.3,0.0,0.0,14.3,71.4
Gunshow,3.0,3.4,6.0,10.4,77.3
Gus chicken,66.7,0.0,0.0,0.0,33.3
Gus’s World Famous Fried Chicken,6.8,4.2,8.1,19.8,61.1
Guthrie's,5.0,3.0,7.9,12.9,71.3
Gyro Bros,11.5,3.8,8.7,24.0,51.9
Gyu-kaku Japanese BBQ,9.0,4.1,5.2,19.1,62.5
HOKI Japanese Restaurant,6.1,3.0,5.1,16.2,69.7
Habitat Kitchen & Bar,16.2,2.9,2.9,5.9,72.1
"Hal's ""The Steakhouse""",3.7,2.4,5.8,12.9,75.2
Halal American Deli,1.2,1.7,0.6,4.7,91.9
Hambone's BBQ,0.0,0.0,0.0,37.5,62.5
Hans Express,6.3,3.1,12.6,21.3,56.6
Harold's Chicken & Ice Bar,8.2,4.1,10.4,24.4,52.8
"Hattie B's Hot Chicken - Atlanta, GA",2.6,2.3,6.1,17.7,71.4
Hattie Marie's Texas Style BBQ & Cajun Kitchen,9.6,7.2,12.7,17.2,53.3
Haven Restaurant and Bar,2.2,1.6,6.9,20.8,68.5
Hawkers Asian Street Food,10.3,6.8,9.4,15.4,58.1
Healthfull Essence,6.3,2.6,6.5,14.0,70.6
Helen's Hot Chicken,11.0,4.4,7.4,14.0,63.2
Henri's Bakery & Deli,4.1,2.4,7.6,17.8,68.0
Henry's Midtown Tavern,7.5,6.1,10.5,25.9,50.0
High Velocity,18.6,9.0,17.9,21.2,33.3
Highland Bakery Downtown GSU,4.7,3.9,20.3,19.5,51.6
Highland Bakery Midtown,8.2,5.7,9.9,24.4,51.8
Highland Bistro,1.4,0.0,1.4,0.0,97.3
HippoHopp,4.4,3.7,8.2,22.3,61.5
Holy Taco,6.7,5.0,9.4,26.9,52.0
Home grown GA Restaurant,1.3,1.7,4.5,16.6,76.0
Honey Bubble,6.1,3.1,7.9,21.4,61.5
Hong Kong City,11.2,2.0,8.2,22.4,56.1
Hot Dog Pete's,3.9,2.2,4.5,15.2,74.2
Houston's,5.1,1.4,5.6,16.8,71.1
Hsu's Gourmet,3.6,3.4,7.8,24.6,60.7
Hudson Grille,15.0,7.5,15.1,24.5,37.9
Hudson’s Grille,20.0,0.0,0.0,20.0,60.0
Hunan Dragon III,8.0,8.0,4.0,4.0,76.0
Häagen-Dazs,3.4,2.5,13.6,21.2,59.3
IHOP,11.8,5.9,12.8,24.4,45.2
Il Localino,3.6,1.8,3.3,11.0,80.3
Infinity Restaurant & Lounge LLC,4.1,3.7,9.8,30.1,52.2
Irby's Tavern,4.5,4.5,7.1,16.0,67.9
Iron Hill Brewery & Restaurant,8.3,2.1,7.3,9.4,72.9
Iron Skillet Restaurant,16.2,9.3,12.1,23.5,38.9
Island Vibes Caribbean Grill,5.7,2.3,6.8,15.2,70.0
J & J Fish & Chicken,3.7,2.1,7.9,20.7,65.6
J. Buffalo Wings,15.4,7.1,11.6,20.6,45.4
J. Christopher's,6.0,2.4,10.2,21.0,60.5
J.R. Crickets on Main St,15.0,6.0,11.1,19.6,48.4
JCT. Kitchen & Bar,2.3,1.8,5.9,21.3,68.8
JINYA Ramen Bar - Buckhead,2.2,1.1,3.0,14.3,79.4
JJ Fish & Chicken,5.8,3.5,9.9,22.1,58.5
JJ's Country Cooking,7.6,5.6,12.8,24.3,49.7
Jack's New Yorker Deli,3.2,4.6,7.3,20.2,64.7
Jack's Pizza & Wings,7.3,4.2,6.9,22.8,58.7
Jack's Sandwich Shop,0.0,0.0,0.0,0.0,100.0
Jai Ho - Indian Kitchen at Krog Street Market,4.3,4.3,4.3,2.2,84.8
Jalisco Restaurant,8.5,2.0,5.9,20.8,62.9
Jamba,4.5,2.3,4.5,15.9,72.7
Jamba Chastain Square,12.9,0.0,3.2,16.1,67.7
Jamba Madison Yards,14.3,3.6,7.1,7.1,67.9
Jamba Turner Food Market,0.0,0.0,0.0,0.0,100.0
Jamrock Jerk Center,8.8,4.4,11.0,19.6,56.2
Janet's Kitchen Atlanta (Carryout/Dine in),9.1,4.5,8.0,14.8,63.6
Jason's Deli,4.6,3.2,9.9,24.5,57.7
Java Jive,3.7,2.6,6.3,17.0,70.5
Jefe's Tacos & Tequila,8.8,8.8,8.8,26.5,47.1
JenChan's,1.8,0.0,7.3,3.6,87.3
Jet's Pizza,11.9,2.5,8.1,21.6,55.9
Jim 'N Nick's Bar-B-Q,5.3,3.9,8.8,25.0,57.0
Joe's On Juniper,7.0,4.8,9.7,27.5,51.0
Joella's Hot Chicken,16.6,8.6,6.5,10.9,57.4
Johnny Rockets,10.4,4.5,11.1,23.6,50.4
Josephine Lounge,17.5,6.2,11.8,15.2,49.3
Joy Cafe,5.7,3.2,5.3,16.1,69.6
Joystick Gamebar,1.4,2.4,7.5,25.9,62.8
Ju-c Bar,0.0,0.0,0.0,0.0,100.0
Junior's Pizza,6.3,4.0,6.9,10.9,71.8
Just Around the Corner,3.3,2.9,7.8,18.4,67.6
K BBQ Taco,0.9,1.4,4.6,14.7,78.4
KP Soul Food LLC,12.5,0.0,25.0,12.5,50.0
KR SteakBar,3.2,1.5,2.9,15.8,76.6
Kale Me Crazy Vinings | Health Food Restaurant,8.0,2.3,9.1,11.4,69.3
Kale Me Crazy | Health Food Cafe Brookhaven Atlanta,9.1,3.0,6.1,18.9,62.9
